招聘主题,用人单位,发布日期,浏览次数
管培生,紫光数码（苏州）集团有限公司,2021-12-08,85
解决方案测试工程师,天音通信有限公司,2021-12-08,106
UX设计与研究,天音通信有限公司,2021-12-08,98
硬件测试,天音通信有限公司,2021-12-08,96
单板硬件开发,天音通信有限公司,2021-12-08,94
自如集团2022管培生招聘,北京自如生活企业管理有限公司,2021-12-08,59
（世界500强）物产中大2022届校园招聘,浙江物产金属集团有限公司,2021-12-08,58
有机合成研究员,上海美迪西生物医药股份有限公司,2021-12-08,51
电机驱动助理工程师,北京大豪科技股份有限公司,2021-12-08,57
主控助理工程师（嵌入式）,北京大豪科技股份有限公司,2021-12-08,51
硬件开发助理工程师,北京大豪科技股份有限公司,2021-12-08,56
测试工程师,北京大豪科技股份有限公司,2021-12-08,52
电机驱动软件开发工程师,北京大豪科技股份有限公司,2021-12-08,55
主控开发工程师（嵌入式）,北京大豪科技股份有限公司,2021-12-08,53
硬件开发工程师,北京大豪科技股份有限公司,2021-12-08,58
产品质量管理工程师,北京大豪科技股份有限公司,2021-12-08,56
技术支持工程师,北京大豪科技股份有限公司,2021-12-08,58
工程师助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,63
人事助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,58
采购助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,78
电气工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,60
机械工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,65
layout 工程师,深圳麦科信仪器有限公司,2021-12-07,57
工艺研发工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,52
软件工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,57
光学研发工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,54
专利工程师（理工科零起点培训）,北京同达信恒知识产权代理有限公司,2021-12-07,67
人力资源类,牧原食品股份有限公司,2021-12-07,91
供应链,牧原食品股份有限公司,2021-12-07,91
机械工程师,牧原食品股份有限公司,2021-12-07,95
通信工程师,牧原食品股份有限公司,2021-12-07,88
大数据开发工程师,牧原食品股份有限公司,2021-12-07,86
软件开发类,牧原食品股份有限公司,2021-12-07,80
算法工程师,牧原食品股份有限公司,2021-12-07,76
销售,牧原食品股份有限公司,2021-12-07,79
高中各学科教师,保定东方双语学校,2021-12-07,56
爱玛科技集团2022届校招,爱玛科技集团股份有限公司,2021-12-07,53
营销策划,东莞市盛雄激光先进装备股份有限公司,2021-12-07,47
售后助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,50
业务助理,东莞市盛雄激光先进装备股份有限公司,2021-12-07,70
设备装调工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,56
交付工艺工程师,东莞市盛雄激光先进装备股份有限公司,2021-12-07,50
设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-07,48
关于2022年度湖南省国资委“英培计划”人才选拔公告,湖南省人民政府国有资产监督管理委员会,2021-12-07,93
软件工程师,上海创远仪器技术股份有限公司,2021-12-06,89
FPGA开发工程师,西安中唐测控技术有限责任公司,2021-12-06,75
互联网医院董事长助理,宜善医疗产业管理集团股份有限公司,2021-12-06,70
渠道拓展专员,宜善医疗产业管理集团股份有限公司,2021-12-06,53
产品运营,宜善医疗产业管理集团股份有限公司,2021-12-06,62
软件工程师,西安中唐测控技术有限责任公司,2021-12-06,69
产品经理,宜善医疗产业管理集团股份有限公司,2021-12-06,59
新媒体运营,宜善医疗产业管理集团股份有限公司,2021-12-06,54
工程项目管理与采购助理,宜善医疗产业管理集团股份有限公司,2021-12-06,57
业务咨询师,日铁软件（上海）有限公司,2021-12-06,97
系统工程师,日铁软件（上海）有限公司,2021-12-06,57
结构/土建工程师,广州杰赛科技股份有限公司,2021-12-06,69
信息化设计工程师,广州杰赛科技股份有限公司,2021-12-06,47
通信设计工程师,广州杰赛科技股份有限公司,2021-12-06,50
解决方案工程师,广州杰赛科技股份有限公司,2021-12-06,49
教师岗管培生,合肥方了个田教育科技有限责任公司,2021-12-06,52
密码学,华控清交信息科技（北京）有限公司,2021-12-06,56
各学科教师,保定东方双语学校,2021-12-06,46
猎头顾问助理,上海优克锡企业管理顾问有限公司,2021-12-06,47
机械/电气工程师,酒泉钢铁（集团）有限责任公司,2021-12-06,49
管理培训生,上海优克锡企业管理顾问有限公司,2021-12-06,56
人力资源顾问,上海优克锡企业管理顾问有限公司,2021-12-06,50
ASIC研发工程师,苏州雄立科技有限公司,2021-12-06,55
